TIME,FOREIGN,DOMESTIC,MALE,FEMALE,ORIGIN_UNCATEGORIZED,SEX_UNCATEGORIZED,UNCATEGORIZED,LOCATION
1/1/2025,27,680,362,344,0,0,0,ALITAPTAP
1/1/2025,0,0,0,0,0,0,0,RIVERWALK
1/1/2025,837,1148,938,1047,0,0,0,PSL
1/1/2025,173,310,226,257,0,0,0,PRG
1/1/2025,0,0,0,0,0,0,0,PLAZUELA
1/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
1/1/2025,865,2214,1525,1553,0,0,0,PR
1/1/2025,458,4159,2363,2254,0,0,0,FS
1/1/2025,186,332,250,268,0,0,0,CM
1/1/2025,52,358,170,241,0,0,0,CDT
1/1/2025,131,287,207,212,0,0,0,BSD
1/1/2025,0,0,0,0,0,0,0,ASEAN
1/1/2025,15,166,88,93,0,0,0,MDI
2/1/2025,0,0,0,0,0,0,0,PLAZUELA
2/1/2025,0,0,0,0,0,0,0,RIVERWALK
2/1/2025,837,1148,938,1047,0,0,0,PSL
2/1/2025,173,310,226,257,0,0,0,PRG
2/1/2025,865,2213,1525,1553,0,0,0,PR
2/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
2/1/2025,131,287,207,212,0,0,0,BSD
2/1/2025,458,4159,2363,2254,0,0,0,FS
2/1/2025,186,332,250,268,0,0,0,CM
2/1/2025,52,358,170,241,0,0,0,CDT
2/1/2025,0,0,0,0,0,0,0,ASEAN
2/1/2025,27,679,362,344,0,0,0,ALITAPTAP
2/1/2025,15,166,88,93,0,0,0,MDI
3/1/2025,0,0,0,0,0,0,0,PLAZUELA
3/1/2025,0,0,0,0,0,0,0,RIVERWALK
3/1/2025,837,1148,938,1047,0,0,0,PSL
3/1/2025,173,310,226,257,0,0,0,PRG
3/1/2025,865,2213,1525,1553,0,0,0,PR
3/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
3/1/2025,131,287,207,212,0,0,0,BSD
3/1/2025,458,4159,2363,2254,0,0,0,FS
3/1/2025,186,332,250,268,0,0,0,CM
3/1/2025,52,358,170,241,0,0,0,CDT
3/1/2025,0,0,0,0,0,0,0,ASEAN
3/1/2025,27,679,362,344,0,0,0,ALITAPTAP
3/1/2025,15,166,88,93,0,0,0,MDI
4/1/2025,0,0,0,0,0,0,0,RIVERWALK
4/1/2025,837,1148,938,1047,0,0,0,PSL
4/1/2025,173,310,226,257,0,0,0,PRG
4/1/2025,865,2213,1525,1553,0,0,0,PR
4/1/2025,0,0,0,0,0,0,0,PLAZUELA
4/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
4/1/2025,15,166,88,93,0,0,0,MDI
4/1/2025,186,332,250,268,0,0,0,CM
4/1/2025,52,358,170,241,0,0,0,CDT
4/1/2025,131,287,207,212,0,0,0,BSD
4/1/2025,0,0,0,0,0,0,0,ASEAN
4/1/2025,27,679,362,344,0,0,0,ALITAPTAP
4/1/2025,458,4159,2363,2254,0,0,0,FS
5/1/2025,0,0,0,0,0,0,0,PLAZUELA
5/1/2025,0,0,0,0,0,0,0,RIVERWALK
5/1/2025,837,1148,938,1047,0,0,0,PSL
5/1/2025,173,310,226,257,0,0,0,PRG
5/1/2025,865,2213,1525,1553,0,0,0,PR
5/1/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
5/1/2025,131,287,207,212,0,0,0,BSD
5/1/2025,458,4159,2363,2254,0,0,0,FS
5/1/2025,27,679,362,344,0,0,0,ALITAPTAP
5/1/2025,0,0,0,0,0,0,0,ASEAN
