LOCATION,START_DATE,END_DATE,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THURS_OPEN,THURS_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE
PSL,1/1/2023,31/12/2025,8:00:00,21:00:00,8:00:00,21:00:00,8:00:00,21:00:00,8:00:00,21:00:00,8:00:00,21:00:00,8:00:00,21:00:00,8:00:00,21:00:00
PDR,1/1/2023,31/12/2025,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00
PRG,1/1/2023,31/12/2025,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00
ASEAN,1/1/2023,31/12/2025,,,9:00:00,18:00:00,9:00:00,18:00:00,9:00:00,18:00:00,9:00:00,18:00:00,9:00:00,18:00:00,9:00:00,18:00:00
ALITAPTAP,1/1/2023,31/12/2025,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00
PLAZUELA,1/1/2023,31/12/2025,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00
RIVERWALK,1/1/2023,31/12/2025,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00
PLAZA_MEXICO,1/1/2023,31/12/2025,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00
MDI,1/1/2023,31/12/2025,,,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
MAC,1/1/2023,31/12/2025,7:00:00,17:00:00,7:00:00,17:00:00,7:00:00,17:00:00,7:00:00,17:00:00,7:00:00,17:00:00,7:00:00,17:00:00,7:00:00,17:00:00
SAG,1/1/2023,31/12/2025,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00
BSD,1/1/2023,31/12/2025,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00,8:00:00,17:00:00
CM,1/1/2023,31/12/2025,,,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00
PR,1/1/2023,31/12/2025,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00
FS,1/1/2023,31/12/2025,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00
SDG,1/1/2023,31/12/2025,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
